TimeStamp,ECG Data,GSR Data
11,355,427
22,271,426
33,400,427
44,254,426
55,408,427
66,278,426
77,354,427
88,288,427
99,313,426
110,327,426
121,261,426
132,386,427
143,285,426
154,424,427
165,305,426
176,426,427
187,337,426
198,360,427
209,315,426
220,244,426
231,299,426
242,217,426
253,336,426
264,217,426
275,356,427
286,209,426
297,230,426
308,318,426
319,644,426
330,672,426
342,554,426
353,55,427
364,7,426
375,237,427
386,132,426
397,238,426
408,198,426
419,199,426
430,250,426
441,210,426
452,333,426
463,234,426
474,385,427
485,267,426
496,393,427
507,320,426
518,388,427
529,382,426
540,354,426
551,487,427
562,396,426
573,531,426
584,402,426
595,514,427
606,355,426
617,354,427
628,216,426
640,136,426
651,172,426
662,60,426
673,185,427
684,83,426
695,264,426
706,162,426
717,243,426
728,219,426
739,229,426
750,281,426
761,199,426
772,333,427
783,217,426
794,364,426
805,246,426
816,371,427
827,279,426
838,325,427
849,328,426
860,281,426
871,345,427
882,238,426
893,403,427
904,264,426
915,398,427
926,283,426
937,345,426
948,307,426
959,300,426
970,342,426
982,276,426
993,386,427
1004,255,426
1015,385,426
1026,294,426
1037,362,427
1048,340,427
1059,326,426
1070,372,426
1081,290,426
1092,456,427
1103,300,426
1114,379,427
1125,215,426
1136,316,427
1147,260,426
1158,288,426
1169,278,426
1180,241,426
1191,321,426
1202,136,426
1213,420,427
1224,651,426
1235,673,427
1246,541,426
1257,80,427
1268,74,426
1280,143,426
1291,217,426
1302,129,426
1313,290,427
1324,160,426
1335,315,427
1346,198,426
1357,316,426
1368,266,426
1379,288,426
1390,351,427
1401,272,426
1412,387,427
1423,290,426
1434,457,427
1445,352,426
1456,496,427
1467,430,427
1478,471,427
1489,484,426
1500,402,426
1511,425,427
1522,232,426
1533,290,427
1544,98,426
1555,188,426
1566,87,426
1577,149,426
1588,140,426
1599,157,426
1610,207,426
1622,141,426
1633,279,426
1644,156,426
1655,303,427
1666,213,426
1677,290,426
1688,262,426
1699,249,426
1710,302,426
1721,230,426
1732,350,427
1743,234,426
1754,376,427
1765,239,426
1776,351,426
1787,285,426
1798,322,426
1809,313,426
1820,260,427
1831,363,427
1842,245,426
1853,386,427
1864,255,426
1875,388,426
1886,298,426
1897,381,427
1908,378,426
1920,358,426
1931,403,427
1942,249,426
1953,354,427
1964,210,426
1975,342,427
1986,241,426
1997,304,426
2008,284,426
2019,273,426
2030,252,426
2041,249,427
2052,609,427
2063,669,426
2074,675,427
2085,87,426
2096,80,427
2107,144,426
2118,185,426
2129,208,426
2140,183,426
2151,282,426
2162,183,426
2173,337,426
2184,219,426
2195,363,427
2206,281,426
2217,341,426
2228,318,426
2239,319,426
2250,397,427
2262,320,426
2273,473,427
2284,365,426
2295,505,427
2306,416,426
2317,498,427
2328,441,426
2339,340,426
2350,323,427
2361,179,426
2372,234,427
2383,81,426
2394,203,426
2405,83,426
2416,197,427
2427,156,426
2438,204,426
2449,208,426
2460,168,426
2471,293,427
2482,176,426
2493,333,426
2504,216,426
2515,338,426
2526,241,426
2537,315,426
2548,285,427
2560,259,426
2571,337,427
2582,238,426
2593,372,427
2604,236,426
2615,372,427
2626,269,426
2637,311,427
2648,292,426
2659,285,426
2670,340,427
2681,253,426
2692,371,427
2703,257,426
2714,414,426
2725,309,426
2736,434,427
2747,367,427
2758,361,427
2769,351,426
2780,249,426
2791,318,426
2802,208,426
2813,349,427
2824,220,426
2835,350,427
2846,267,426
2857,262,427
2868,194,426
2879,478,426
2890,658,427
2902,673,426
2913,313,427
2924,27,426
2935,221,427
2946,146,426
2957,228,427
2968,206,426
2979,206,426
2990,272,426
3001,199,426
3012,337,427
3023,228,426
3034,376,427
3045,250,426
3056,381,426
3067,326,427
3078,366,427
3089,386,426
3100,332,426
3111,473,427
3122,371,426
3133,530,427
3144,402,426
3155,512,427
3166,377,426
3177,363,427
3188,262,426
3200,157,426
3211,202,426
3222,70,426
3233,213,426
3244,90,426
3255,248,426
3266,151,426
3277,217,426
3288,215,426
3299,203,426
3310,284,426
3321,181,426
3332,327,426
3343,213,426
3354,346,426
3365,252,426
3376,342,426
3387,270,426
3398,280,426
3409,318,426
3420,255,426
3431,357,427
3442,239,426
3453,378,427
3464,260,426
3475,373,426
3486,275,426
3497,318,427
3508,312,426
3519,284,426
3530,361,427
3542,249,426
3553,388,427
3564,265,426
3575,378,426
3586,275,426
3597,335,427
3608,337,426
3619,309,426
3630,390,426
3641,314,426
3652,467,427
3663,313,426
3674,413,427
3685,240,426
3696,319,426
3707,270,426
3718,277,426
3729,308,426
3740,236,427
3751,347,427
3762,195,426
3773,266,427
3784,429,426
3795,656,427
3806,672,426
3817,363,427
3828,29,426
3840,65,426
3851,226,427
3862,117,426
3873,273,426
3884,166,426
3895,300,426
3906,232,426
3917,277,426
3928,299,426
3939,271,426
3950,354,427
3961,250,426
3972,400,427
3983,286,426
3994,435,427
4005,342,426
4016,450,427
4027,419,426
4038,435,426
4049,486,427
4060,406,427
4071,478,427
4082,290,426
4093,339,427
4104,152,426
4115,216,427
4126,118,426
4137,156,426
4148,146,426
4159,125,426
4170,216,426
4182,143,426
4193,296,426
4204,181,426
4215,295,427
4226,217,426
4237,280,426
4248,273,426
4259,255,426
4270,307,426
4281,230,426
4292,368,427
4303,223,426
4314,371,427
4325,258,426
4336,327,427
4347,307,426
4358,301,426
4369,331,426
4380,251,426
4391,364,427
4402,232,426
4413,383,427
4424,250,426
4435,370,427
4446,280,426
4457,330,426
4468,323,426
4480,272,427
4491,367,427
4502,259,426
4513,415,427
4524,290,426
4535,406,427
4546,366,426
4557,381,427
4568,344,426
4579,271,426
4590,312,427
4601,197,426
4612,343,427
4623,213,426
4634,347,426
4645,252,426
4656,348,427
4667,199,426
4678,244,426
4689,597,427
4700,667,427
4711,675,427
4722,132,427
4733,85,426
4744,80,426
4755,236,427
4766,158,427
4777,214,426
4788,219,426
4799,194,426
4810,307,427
4822,213,426
4833,362,427
4844,243,426
4855,361,426
4866,292,426
4877,360,426
4888,375,426
4899,335,426
4910,433,427
4921,352,426
4932,501,426
4943,398,426
4954,517,427
4965,381,426
4976,428,427
4987,303,426
4998,242,426
5009,204,426
5020,97,426
5031,204,427
5042,85,426
5053,222,427
5064,128,426
5075,232,426
5086,188,426
5097,232,426
5108,257,426
5120,190,426
5131,317,426
5142,188,426
5153,356,426
5164,224,426
5175,344,427
5186,282,426
5197,299,427
5208,299,426
5219,259,426
5230,352,426
5241,223,426
5252,383,427
5263,241,426
5274,385,427
5285,280,426
5296,356,427
5307,293,426
5318,288,426
5329,353,426
5340,267,426
5351,360,427
5362,251,426
5373,395,427
5384,253,426
5395,373,426
5406,305,426
5417,317,426
5428,345,426
5439,288,426
5450,391,427
5462,288,426
5473,462,427
5484,299,426
5495,372,427
5506,252,426
5517,289,427
5528,289,426
5539,222,426
5550,319,426
5561,211,426
5572,360,427
5583,196,426
5594,273,427
5605,400,426
5616,654,427
5627,673,427
5638,452,426
5649,36,426
5660,16,426
5671,220,427
5682,114,426
5693,264,427
5704,167,426
5715,282,427
5726,226,426
5737,271,427
5748,302,426
5760,232,426
5771,371,427
5782,256,426
5793,400,427
5804,303,426
5815,415,427
5826,365,426
5837,394,427
5848,427,426
5859,393,426
5870,496,427
5881,365,426
5892,503,427
5903,303,426
5914,336,427
5925,173,426
5936,209,426
5947,141,426
5958,122,426
5969,198,427
5980,113,426
5991,246,426
6002,122,426
6013,304,427
6024,178,426
6035,302,426
6046,239,426
6057,247,426
6068,281,426
6079,250,426
6090,336,426
6102,222,426
6113,365,426
6124,248,426
6135,349,427
6146,271,426
6157,311,426
